"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper","T_cells_regulatory_(Tregs)","T_cells_gamma_delta","NK_cells_resting","NK_cells_activated","Monocytes","Macrophages_M0","Macrophages_M1","Macrophages_M2","Dendritic_cells_resting","Dendritic_cells_activated","Mast_cells_resting","Mast_cells_activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE"
"RS_03238953",0.174151497097707,0,0.046998959398804,0.116657899779387,0,0.263917062594144,0,0,0.09849936397117,0,0.0447798168261913,0.00509102097437897,0.0361412277750552,0.0320111842679344,0,0.153537159471323,0,0.0122353207478912,0,0.0159794870960138,0,0,0.326,0.0621263607199831,1.07061821964306
"RS_03238954",0,0.0134023397751496,0.0902613334525065,0.248358228849431,0,0,0.082640093615315,0.125333958790806,0.0577937343276938,0,0,0.0692095099753161,0.017109670712957,0.0302658545508452,0.0597433318109164,0.121568533443006,0.0116514632806608,0.0119866010558135,0.0606753463595838,0,0,0,0.03,0.175462889417555,1.01808632585743
"RS_03238955",0,0.0375442601857739,0.0833383898054063,0.186298675936114,0,0.0359924375444891,0,0.129445812673216,0.0409112561442119,0,0,0.116547062575398,0.0339276282422222,0,0.0251832282311258,0.245848353956452,0,0,0.0649628947055902,0,0,0,0.678,0.0135512488596396,1.08673668377438
"RS_03238956",0,0,0,0,0,0.343613157583211,0,0.22527766633622,0,0,0,0.0319476175174425,0,0.0505258492716575,0,0.304892623617354,0,0,0,0.0437430856741147,0,0,0.969,-0.038092676290958,1.1305160000921
"RS_03238957",0,0,0.204505011069195,0.0585757658995724,0,0.0793244111534341,0.0436191258185079,0.0595072359381493,0.0100914012545097,0,0.0308734029723038,0.00306231368289623,0.00917113987513598,0.0137808697194982,0.165570986530066,0.162079547151331,0,0.108942335391527,0.0325843971359423,0,0,0.0183120564079309,0.003,0.249560900076853,0.989441279143396
"RS_03238958",0,0.000150313463180532,0.0811376692631315,0.0734170581325845,0,0.125981956530152,0.0980113672352501,0.0163841973818369,0,0,0.0386205383539899,0.00343666482073027,0.00807518965964856,0.0884762461312701,0.0737228793714102,0.251851206932376,0,0.0632544029668611,0.0665413966655997,0,0,0.0109389130919794,0.069,0.135877073983351,1.02560337793015
"RS_03238959",0.0595227825725988,0,0.071770422044262,0.0867256881073,0.00204083250887411,0.125470673833524,0.120773317145303,0,0,0,0.0661314853966378,0,0.0207814097639197,0.0278623607334827,0.0575190779128619,0.259767627824758,0,0.0306608512359927,0.0709734709204855,0,0,0,0.0610000000000001,0.14330476695166,1.0175645849317
"RS_03238960",0.0779747010759052,0,0.00761699934024839,0.023053738847555,0,0.300780529247975,0,0.0527489725449257,0.0262516930643508,0,0.0288511306575659,0,0.000463673739527531,0.0770092657730159,0.017934163877533,0.288601881724665,0,0.00859995271844319,0.0748122767034727,0,0,0.0153010206848167,0.631,0.0196463789137246,1.07973463038016
"RS_03238961",0.215489433839696,0,0.088683830191756,0.0319484670550817,0.066668617558279,0.21033073278767,0,0.0329215013133661,0,0,0,0,0.0116833345463499,0,0.0262455964666277,0.187222141726405,0.0655676621615499,0.0117065361216135,0,0.0515321462316054,0,0,0.799,-0.0032401635845645,1.07991952149361
"RS_03238962",0.058787192842267,0,0.335276400127867,0.00662211924574687,0,0.231129156839223,0,0.030523016070108,0,0,0.0471642775146625,0,0.00970528959142142,0.0728965756889584,0.0359950627369715,0.114415150438974,0,0.00273671087063023,0,0.05474904803317,0,0,0.163,0.0993886534740717,1.02925094188282
"RS_03238963",0.0338522600891992,0,0.0488645473257286,0.0870744980775479,0,0.203713019521456,0.0102997224031805,0.0404827005603492,0.0147167909291719,0,0.0204763334284244,0,0.00869527779146973,0.0455438141719048,0.054253469434815,0.252414143895634,0.0751224821424711,0.00950792654648683,0.0949830136821605,0,0,0,0,0.320553925543376,0.949690707968284
"RS_03238964",0.0635069592067392,0,0.0124511795200795,0,0.0195544625286733,0.147631982735013,0,0.0114941254848488,0.00341466213603117,0,0.00698421154642161,0,0.00982971278653966,0.406862633419831,0,0.242399068575956,0,0.0433645024266424,0,0.0325064996332247,0,0,0.055,0.146942870875607,1.07807642469239
"RS_03238965",0.0103872300226768,0.0227429708577715,0.049786055708446,0.0616100892443906,0.0697885046754743,0.024727744640994,0,0.116539301136685,0.0209948027129241,0,0,0.0851052894483725,0.0542139388524362,0.0248216366676638,0.00210881835622532,0.319838280760499,0,0.0224164137761278,0.114918923139313,0,0,0,0.043,0.160875928371616,1.01777458015287
"RS_03238966",0,0.0499271920532298,0.0291342766402559,0.0647199703064166,0,0.254011895463704,0.045734560970011,0.00416604287746891,0,0,0,0.0242131087444056,0.00276113955856566,0.120863724762915,0.0548533655618901,0.186173817540475,0,0,0.163440905520662,0,0,0,0.001,0.287113202480258,0.965431203250912
"RS_03238967",0.0521404136644671,0.0708984785553323,0.000770936118226262,0.0673549596706505,0,0.200619792127911,0.0501865375709658,0,0.0575821146839313,0,0,0.0215794927423529,0.0172505430505881,0.0316514891182521,0.109198831366242,0.167120948173164,0,0.00230229386379519,0.151343169294122,0,0,0,0.073,0.133896768665888,1.02964258459883
"RS_03238968",0.0680429599930359,0,0.0261263613128197,0.00860292137248147,0,0.09840548735114,0,0.0631760277470868,0.0140975538705885,0,0,0.0240269411685031,0.0178667370198626,0.410385114659464,0,0.168595193869701,0,0.0338291372263064,0.0668455644090096,0,0,0,0,0.488992685917582,0.873437726601245
"RS_03238969",0.0157511734948446,0,0.0761220568515508,0,0,0.238787147345589,0,0.0416986784077349,0.0469184442929889,0,0,0.02373546330453,0.0401011612008971,0.0355998663873436,0,0.29427666603272,0,0.0613817677119674,0.125627574969833,0,0,0,0.954,-0.0306258856420532,1.08558072232987
"RS_03238970",0.00957124722695245,0.0289050249409337,0.0105050296613931,0.0409002244312183,0,0.169356095075262,0,0.0277175977242371,0,0,0.0653676607943113,0.000939501138888212,0.0443279748424198,0.14301803399645,0.0163890178948404,0.32426191212508,0,0.0455981229122101,0.0731425572358038,0,0,0,0.273,0.0725123460450557,1.06358998651206
"RS_03238971",0.0137048969472513,0.108254430963497,0.0466732652422156,0.0928640658006258,0,0.278063651692237,0.125323717876456,0.0546763500972885,0.00477107761787652,0,0.0426622784230361,0,0.031356868001213,0,0.0279212259250251,0.106447368563097,0,0.0128258847693055,0.054454918080875,0,0,0,0.029,0.179698613921446,1.01266648927823
"RS_03238972",0.0220408978716981,0,0.00238086844233267,0,0,0.27005708117231,0,0.0404200302702427,0.0308200454641044,0,0.0614715398335995,0,0.039448125509434,0.272137721465842,0.0128779077299451,0.134406329149599,0,0,0,0.0971446168308101,0,0.0167948362600829,0.005,0.226003463855144,1.00706975332491
"RS_03238973",0.120254633346695,0,0.294049742251321,0.0796793618951214,0.0227473820003812,0.0202969002935327,0,0.144375841903133,0,0,0.00211266849214708,0.0222627472705543,0.0628336823204478,0.0451393566935249,0.00566655387027943,0.0850127100358533,0,0.00447453110343183,0.0609145898643395,0,0,0.0301792986592378,0.002,0.251826460464542,0.973181965292925
"RS_03238974",0.0117477025013049,0,0.0353491411309987,0.189779182089922,0,0.0667387652583962,0,0.090342748774122,0.0615430286666351,0,0,0.116673673451157,0.00937079207776182,0.1589161554642,0.0298679904892477,0.223876268608281,0,0,0,0.00510815312600737,0,0.000686398361965825,0.011,0.214228111776135,1.01382165477048
"RS_03238975",0.118845569867543,0.220048602396921,0.0115726546245176,0.0576632905689018,0.10663369424186,0.0482806950120702,0.00519863877224025,0.0209516400333078,0.02097601160812,0,0.0354789065319956,0,0.0347085301582352,0.14476201461351,0.0489146303039418,0.0832257440397275,0,0.0220524856973827,0.0181745353319855,0,0,0.00251235619774024,0,0.511195815405701,0.861977353242408
"RS_03238976",0.116430750639351,0,0.0138088983042941,0.0768951619150495,0,0.184448463029412,0,0.0321101707420342,0.141787875400096,0,0,0.0266951423848024,0.0836510543845201,0.14056147136815,0.00457254568745684,0.0770302493225748,0,0.000559903070763032,0.101448313751497,0,0,0,0.591,0.0242517839860864,1.07441003913046
"RS_03238977",0.165702660747573,0.305283367220256,0,0.0275579015166418,0.0487128333793816,0.214950944356979,0,0.0340186108786501,0,0,0.064807491133812,0,0.0375473655588977,0,0.0210663940062048,0.0399983406495966,0,0.0191622921907246,0.0211917983612824,0,0,0,0,0.454739698298089,0.891506193555664
"RS_03238978",0.0116562346388888,0.00976425409823684,0.123870439651961,0.108694428861737,0.0354959278086721,0,0.0848014388090841,0.218104699669714,0,0,0.0118021127938474,0.00321689852098061,0.0196110207185169,0.0198630262498458,0.024256740520601,0.205467192588483,0,0.0624732548036677,0.0591280816441136,0,0.00179424862165021,0,0.256,0.0762515809013268,1.04129271256955
"RS_03238979",1.80004375977663e-05,0.0814328912372484,0.128534400901565,0.107373187987181,0.0507020324586824,0.133257475424422,0,0.0504832693914149,0.0608347230977568,0,0.0174946305853829,0.0153148429139301,0.0431648172773883,0.0628879573767845,0.0491431186454669,0.165963847632855,0,0,0.0282456692664368,0,0,0.00514913536588594,0.154,0.103333982984721,1.03470389011369
"RS_03238980",0,0.0479468610926694,0,0.049779285889838,0,0.440363063379666,0,0.0421351215907309,0.01739648407041,0,0.0218407812386961,0,0.042327152929443,0.0646101137157857,0.0916144907927222,0.0434538192835572,0.00323604360715868,0.00623051408700077,0.129066268322322,0,0,0,0.225,0.0819212275217236,1.06829572252671
"RS_03238981",0.0569925918732266,0,0.136759300762687,0.0757290265854537,0,0.158076935691494,0,0.183963567315695,0,0,0,0.0800564644938148,0.0406993028546728,0.0347033284017723,0.0712169274799029,0.10169299071628,0,0,0.0601095638250018,0,0,0,0.867,-0.0133795924182937,1.08633798337548
"RS_03238982",0,0.0361003820971199,0.0182053000706729,0.0463773956662761,0,0.174584085982813,0,0.122078878511572,0,0,0,0.0748294339891387,0.0400460132452219,0.0174181774393257,0.0413926401509437,0.295485914382452,0,0.0406446165309145,0.0928371619335494,0,0,0,0.881,-0.0155693014651073,1.0892046506903
"RS_03238983",0.0325259020520042,0,0.000629617733360679,0,0.0230148104695546,0.169966649654091,0,0.0341705471147739,0.0257773058395612,0,0.0714028868722516,0,0.0406604011692866,0.328392126036344,0.0049118629495728,0.119620921806739,0,0,0,0.103576664229828,0,0.0453503040726329,0.165,0.0981380741841001,1.07688202209033
"RS_03238984",0,0.0265678534320595,0.0784314993711857,0.14468815033019,0,0.0921216864076267,0.0178570057551928,0.127700969460536,0.0559307228299261,0,0.0266574482619193,0.036495179472519,0.0256326886932424,0.0188267842063246,0.044601372481575,0.124746676231668,0,0.12811522031819,0.0272752983624864,0,0,0.0243514443853588,0.003,0.240612902652186,0.987330799636005
"RS_03238985",0.0466204368205965,0,0.0340793681913001,0.0864890104155863,0,0.134746627500971,0.0632440816709794,0.165504568626277,0,0,0.0154629538231686,0.0234158972819779,0.0279045783836872,0.0420551581235095,0.13102266883732,0.178341219432761,0,0,0.0511134308918671,0,0,0,0.172,0.0961827474311919,1.05095601691474
"RS_03238986",0.0984658979010286,0.0853268481839996,0.148335738098553,0.0940724843517213,0,0.222416298370816,0.0129975674061185,0.0461082528327768,0,0,0,0.0341901663678955,0.0367615004204815,0.000585153980341497,0,0.0815943985608319,0,0.0717314833718439,0.0674142101535918,0,0,0,0.091,0.122464445733916,1.0278876869743
"RS_03238987",0.0573327780622464,0,0.00011346168482277,0.145940005490582,0,0.198409789204113,0.00330865533947276,0.0478981782762284,0,0,0.0668856214131359,0,0.0875181861367731,0,0.184025210542683,0.0783726393774697,0,0.0909076849939081,0.0392877894785656,0,0,0,0,0.326515725867005,0.965307627813279
"RS_03238988",0.118966057351794,0,0.0458122999860012,0.020223894430895,0.0170368044051442,0.239371771242023,0,0,0,0,0.03284942523323,0,0.0113909208469802,0.0918134267466102,0,0.21048098631971,0,0.0152547231961083,0.196799690241504,0,0,0,0.175,0.0935382439433512,1.04300942063722
"RS_03238989",0.102622827281589,0,0.00684244796661429,0,0.0365974247880628,0.227849537544495,0,0.0473310216849789,0.072469526063486,0,0.0429220933126866,0.00638078217833437,0.0302653138286824,0,0,0.279422706882163,0,0.0678428707063981,0.0636732913437565,0.00745874913283589,0,0.00832140728591705,0.985,-0.0467427106859457,1.09840675669934
"RS_03238990",0.0234481354728824,0.0061558647593618,0.0434826547204957,0.0262239058974224,0,0.244364070422286,0,0.139749529668192,0,0,0.0228327923840183,0.00316828532124167,0.0257866963893518,0.0657225159081018,0.00258980176240908,0.272841306631161,0,0.0884753308265216,0.035159109836554,0,0,0,0.815,-0.00513380274851918,1.08650762379881
"RS_03238991",0,0.00958798471887079,0.0294281399415067,0,0,0.319900606104707,0,0.0307343747915946,0.00959478600834212,0,0.060582410714082,0.0325476480812019,0.0581573318834546,0.0913159973458269,0.0396998933712704,0.140023557484325,0.0570706884452412,0.0739691378813207,0.0473874432282558,0,0,0,0.821,-0.00595159131133384,1.08502513030046
"RS_03238992",0.0808344365379627,0,0.0713586554320905,0.123920865812513,0.0322722837662702,0.154976702042142,0,0.0249690316563038,0.0145286907396889,0,0.0410760924348946,0,0.00466683649483408,0,0.0114356374435545,0.364074535811388,0,0.0157667501902237,0.0469105277374031,0,0,0.0132089539007316,0.9,-0.0185204119507406,1.08993020988321
"RS_03238993",0,0.0206903539295169,0.0396985046669326,0.148821694422452,0.06102440002425,0,0.0601466375472251,0.067427468259751,0.00276232656311303,0,0.0231116123601244,0.00912423859978194,0.0142079587204596,0.128009431936204,0.0773913805125068,0.161030114377972,0,0.099409897655002,0.0666511615382107,0,0,0.0204928188864983,0.506,0.034036671383708,1.07169245628863
"RS_03238994",0.047582614336347,0,0.048420102164098,0.0649079453480943,0,0.205185811033361,0,0.0750344427248083,0,0,0.050978060708068,0.0106399393034954,0.0440139029883374,0.22153371571058,0.013778366953422,0.0863470925270246,0,0.0286029499478708,0.102859802738508,0,0,0.000115253515984884,0.391,0.0527253043029819,1.0633297400548
"RS_03238995",0,0.0893149718147116,0.203511574703072,0.0889991656003682,0,0.0562992651614616,0.0106998385599116,0.0572330911396928,0.0615510248759455,0,0,0.0246024994542664,0,0.0890648994653987,0.0603605241540165,0.141252453220925,0,0.0260879675535091,0.0726829614824168,0,0,0.0183397628143049,0.207,0.0856445224992536,1.03189482352731
